ID,Please select your age:,Please select your gender:,What is your nationality?,What is your current academic year or level?,What influenced your choice of field of study in Computer Science? ,What are you planning to do after graduation?,Please describe “academic career” in your own words. What do you know about academic career? What comes to your mind?,What do you think are the motivational factors to pursue for an academic career in Computer Science? ,What do you think are the demotivational factors to pursue academic career in Computer Science? ,Do you think there is a gender gap in the IT sector in BiH? ,What are your thoughts on the representation of women in your field:,Are you personally concerned about the presence of gender bias in your potential future work environment?,Which of the following statements best reflects your perception of gender inclusivity in academic environments compared to the industry?
1,24,Female,Bosnian,Senior (fourth year student),Personal interest;Job opportunities;,Find a job in the industry;Start my own business;,"An academic career is like a journey where people learn a lot and become experts in a specific subject. They go to school for a long time, teach others, do research, and try to make new discoveries. It's a job where you help students, learn new things, and share your knowledge with the world.",Interest and confidence in research (academic success);Flexible work environment;Social status: prestige and dignity;,Lack of confidence;Lack of information and guidance;,Yes,Women are underrepresented,Yes,I perceive both academic environments and the industry as not particularly gender-friendly.
2,19,Female,Bosnian,Freshman (first year student),Personal interest;,Continue my graduate studies (master’s);,studying for life,Interest and confidence in research (academic success);Flexible work environment;,Stressful work environment;Lack of confidence;,Not sure,Not sure,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
3,19,Male,Bosnian,Freshman (first year student),Job opportunities;,Find a job in the industry;,.,Flexible work environment;,.;,Not sure,Not sure,Not sure, I am not sure or have no specific perception regarding the gender inclusivity.
4,18,Male,Turkish,Freshman (first year student),Personal interest;,Start my own business;I don't know yet;,Learning is way more important than a diploma ,Job opportunities in universities;Flexible work environment;,Financial concerns;,Yes,Women are underrepresented,No, I am not sure or have no specific perception regarding the gender inclusivity.
5,20,Male,Bosnian,Freshman (first year student),Personal interest;,I don't know yet;,Good,Flexible work environment;,Financial concerns;,Yes,Not sure,Not sure,I perceive both academic environments and the industry as not particularly gender-friendly.
6,19,Male,Turkish,Freshman (first year student),Family influence;,I don't know yet;,School.,Lack of interest in industrial jobs;Job opportunities in universities;Social status: prestige and dignity;Interest and confidence in research (academic success);Flexible work environment;,"Stressful work environment;Lack of confidence;Lack of information and guidance;Requirements to apply to graduate studies (CGPA, language, etc);Financial concerns;",Not sure,Not sure,No, I am not sure or have no specific perception regarding the gender inclusivity.
7,19,Male,Bosnian,Freshman (first year student),Job opportunities;Family influence;,Find a job in the industry;Become a university professor;,Jobs,Passion for teaching;Social status: prestige and dignity;Flexible work environment;,"Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);",Yes,Women are underrepresented,No, I feel the industry is more gender-friendly compared to academic environments.
8,20,Male,Bosnian,Freshman (first year student),Personal interest;,Start my own business;,Nothing comes to my mind,Flexible work environment;,Stressful work environment;,No,Not sure,No, I believe both academic environments and the industry are equally gender-friendly.
9,19,Male,Bosnian,Freshman (first year student),Job opportunities;Personal interest;Family influence;,Find a job in the industry;,"Things you accomplish in academia, learning and teaching others as well as research.",Interest and confidence in research (academic success);Passion for teaching;Flexible work environment;Lack of interest in industrial jobs;,"Financial concerns;Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);Preference for practical experience;",No,Women are well-represented,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
10,19,Male,Serbian,Freshman (first year student),Personal interest;,Find a job in the industry;,"Flying through courses, focusing on what you think is important",Flexible work environment;Social status: prestige and dignity;,Stressful work environment;,No,Women are well-represented,No, I believe both academic environments and the industry are equally gender-friendly.
11,21,Male,Chechenian,Freshman (first year student),Family influence;Job opportunities;Personal interest;,Find a job in the industry;I don't know yet;,Study ,Interest and confidence in research (academic success);Flexible work environment;,Stressful work environment;Financial concerns;,Not sure,Not sure,Not sure, I am not sure or have no specific perception regarding the gender inclusivity.
12,18,Male,Turkish,Freshman (first year student),Personal interest;Job opportunities;,I don't know yet;,Something about uni,Passion for teaching;Job opportunities in universities;,Financial concerns;,Not sure,Women are underrepresented,No,"In my opinion, academic environments are more gender-friendly than the industry."
13,19,Female,Bosnian,Freshman (first year student),Personal interest;,Continue my graduate studies (master’s);Find a job in the industry;Start my own business;,It is difficult and challenging ,Interest and confidence in research (academic success);Encouragement by the professors;,Stressful work environment;Lack of confidence;,Yes,Women are underrepresented,Not sure,"In my opinion, academic environments are more gender-friendly than the industry."
14,18,Female,Turkish,Freshman (first year student),Job opportunities;,Find a job in the industry;Continue my graduate studies (master’s);,perfect grades,Lack of interest in industrial jobs;,Financial concerns;,No,Women are underrepresented,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
15,19,Male,Bosnian,Freshman (first year student),Personal interest;Job opportunities;,Start my own business;Find a job in the industry;Become a university professor;,It sounds like a good career option ,Passion for teaching;Interest and confidence in research (academic success);,Financial concerns;Stressful work environment;Preference for practical experience;Lack of information and guidance;,No,Women are well-represented,No, I believe both academic environments and the industry are equally gender-friendly.
16,19,Male,Bosnian,Freshman (first year student),Job opportunities;,Start my own business;Find a job in the industry;Continue my graduate studies (master’s);,Nothing,Job opportunities in universities;Social status: prestige and dignity;Passion for teaching;,"Financial concerns;Preference for practical experience;Lack of confidence;Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);",Yes,Women are well-represented,Yes, I am not sure or have no specific perception regarding the gender inclusivity.
17,18,Male,Turkish,Freshman (first year student),Personal interest;Job opportunities;,Find a job in the industry;Start my own business;,What we add in sense of academic skills,Social status: prestige and dignity;Interest and confidence in research (academic success);Job opportunities in universities;Flexible work environment;Lack of interest in industrial jobs;,Lack of job opportunities ;,Not sure,Not sure,No,"In my opinion, academic environments are more gender-friendly than the industry."
18,19,Male,Bosnian,Freshman (first year student),Personal interest;Job opportunities;,Find a job in the industry;Start my own business;Become a university professor;Continue my graduate studies (master’s);,Challenging but interesting :),Job opportunities in universities;Social status: prestige and dignity;Interest and confidence in research (academic success);Flexible work environment;,"Lack of confidence;Requirements to apply to graduate studies (CGPA, language, etc);Preference for practical experience;",Not sure,Women are well-represented,Not sure,"In my opinion, academic environments are more gender-friendly than the industry."
19,20,Male,Bosnian,Freshman (first year student),Job opportunities;,Find a job in the industry;,I,Passion for teaching;Flexible work environment;Lack of interest in industrial jobs;Encouragement by the professors;,"Financial concerns;Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);Preference for practical experience;",No,Not sure,No, I believe both academic environments and the industry are equally gender-friendly.
